my_index;date_taken;id;link_obj
5806;1869/1900;http://www.bildindex.de/bilder/d/fm810344;http://www.bildindex.de/document/obj20269564
5807;1869/1900;http://www.bildindex.de/bilder/d/fm810345;http://www.bildindex.de/document/obj20269564
5809;1869/1900;http://www.bildindex.de/bilder/d/fm810348c;http://www.bildindex.de/document/obj20269564
5810;1869/1900;http://www.bildindex.de/bilder/d/fm810349c;http://www.bildindex.de/document/obj20269564
5811;1869/1900;http://www.bildindex.de/bilder/d/fm810350c;http://www.bildindex.de/document/obj20269564
5812;1869/1900;http://www.bildindex.de/bilder/d/fm810351;http://www.bildindex.de/document/obj20269564
5813;1869/1900;http://www.bildindex.de/bilder/d/fm810352;http://www.bildindex.de/document/obj20269564
5814;1869/1900;http://www.bildindex.de/bilder/d/fm810353;http://www.bildindex.de/document/obj20269564
5815;1869/1900;http://www.bildindex.de/bilder/d/fm810354;http://www.bildindex.de/document/obj20269564
5816;1869/1900;http://www.bildindex.de/bilder/d/fm810355;http://www.bildindex.de/document/obj20269564
5817;1869/1900;http://www.bildindex.de/bilder/d/fm810356;http://www.bildindex.de/document/obj20269564
5818;1891/1903;http://www.bildindex.de/bilder/d/fm810357;http://www.bildindex.de/document/obj20269564
5819;1891/1903;http://www.bildindex.de/bilder/d/fm810358;http://www.bildindex.de/document/obj20269564
5823;1869/1900;http://www.bildindex.de/bilder/d/fm810362;http://www.bildindex.de/document/obj20269564
5824;1869/1900;http://www.bildindex.de/bilder/d/fm810363;http://www.bildindex.de/document/obj20269564
5825;1869/1900;http://www.bildindex.de/bilder/d/fm810364;http://www.bildindex.de/document/obj20269564
5826;1869/1900;http://www.bildindex.de/bilder/d/fm810365;http://www.bildindex.de/document/obj20269564
5827;1869/1900;http://www.bildindex.de/bilder/d/fm810366;http://www.bildindex.de/document/obj20269564
5828;1869/1900;http://www.bildindex.de/bilder/d/fm810367;http://www.bildindex.de/document/obj20269564
